기관명,지점명,코드명,위도,경도,장비구분,제조사,모델명,제조번호,검정필번호,최종검정일,검정유효기간,접수번호,검정일
기상청,경산,OGSB,35.7685,128.8971,기록계,Nanometrics,CENTAUR,8643,I-2021-74,2021-09-17,2026-09-16,O-2026-65,2026-05-27
기상청,경산,OGSB,35.7685,128.8971,속도계,Nanometrics,Trillium 120 PH,981,I-2021-82,2021-10-12,2026-10-11,O-2026-65,2026-05-27
기상청,경산,OGSB,35.7685,128.8971,가속도계,Nanometrics,Titan PH,2581,I-2021-87,2021-10-19,2026-10-18,O-2026-65,2026-05-27
기상청,대관령,JDGB,37.6904,128.6742,기록계,Nanometrics,CENTAUR,8656,I-2021-78,2021-10-01,2026-09-30,O-2026-97,2026-07-01
기상청,대관령,JDGB,37.6904,128.6742,속도계,Nanometrics,Trillium 120 PH,978,I-2021-79,2021-10-06,2026-10-05,O-2026-97,2026-07-01
기상청,대관령,JDGB,37.6904,128.6742,가속도계,Nanometrics,Titan PH,2577,I-2021-83,2021-10-13,2026-10-12,O-2026-97,2026-07-01
기상청,대청도,DDCB,37.8317,124.7069,기록계,Nanometrics,CENTAUR,8644,I-2021-74,2021-09-17,2026-09-16,,
기상청,대청도,DDCB,37.8317,124.7069,속도계,Nanometrics,Trillium 120 PH,982,I-2021-83,2021-10-13,2026-10-12,,
기상청,대청도,DDCB,37.8317,124.7069,가속도계,Nanometrics,Titan PH,2582,I-2021-87,2021-10-19,2026-10-18,,
기상청,밀양,PMYA,35.5018,128.7606,가속도계,Nanometrics,Titan PH,2576,I-2021-83,2021-10-13,2026-10-12,O-2026-8,2026-02-12
기상청,새만금,MSMB,35.6891,126.5562,속도계,Nanometrics,Trillium 120 PH,989,I-2021-90,2021-10-22,2026-10-21,,
기상청,새만금,MSMB,35.6891,126.5562,가속도계,Nanometrics,Titan PH,2596,I-2021-91,2021-10-22,2026-10-21,I-2026-101,2026-06-25
기상청,시흥,ISHB,37.3488,126.7039,기록계,Nanometrics,CENTAUR,8652,I-2021-77,2021-10-01,2026-09-30,O-2026-99,2026-07-07
기상청,시흥,ISHB,37.3488,126.7039,속도계,Nanometrics,Trillium 120 PH,988,I-2021-89,2021-10-21,2026-10-20,O-2026-99,2026-07-07
기상청,시흥,ISHB,37.3488,126.7039,가속도계,Nanometrics,Titan PH,2595,I-2021-90,2021-10-22,2026-10-21,O-2026-99,2026-07-07
기상청,안동,OADB,36.5245,128.8314,기록계,Nanometrics,CENTAUR,8649,I-2021-76,2021-09-24,2026-09-23,O-2026-61,2026-05-14
기상청,안동,OADB,36.5245,128.8314,속도계,Nanometrics,Trillium 120 PH,985,I-2021-86,2021-10-18,2026-10-17,O-2026-61,2026-05-14
기상청,안동,OADB,36.5245,128.8314,가속도계,Nanometrics,Titan PH,2592,I-2021-89,2021-10-21,2026-10-20,O-2026-61,2026-05-14
기상청,양평,IYPA,37.4914,127.5218,기록계,Nanometrics,CENTAUR,8624,I-2021-67,2021-09-09,2026-09-08,O-2026-104,2026-07-14
기상청,양평,IYPA,37.4914,127.5218,가속도계,Nanometrics,Titan PH,2549,I-2021-66,2021-09-08,2026-09-07,O-2026-104,2026-07-14
